id,name,open,labeled,commented,closed
MDU6SXNzdWUyNjU0ODMyNDI=,https://github.com/cucumber/cucumber-jvm-scala/issues/1,2017-10-14T10:57:08Z,2020-04-25T15:13:02Z,2017-10-16T13:22:10Z,2020-05-01T09:49:42Z
MDU6SXNzdWUyNjU0ODMyODA=,https://github.com/cucumber/cucumber-jvm-scala/issues/2,2017-10-14T10:57:44Z,,2018-11-03T22:59:51Z,2018-11-03T22:59:51Z
MDU6SXNzdWUyNjU0ODMzMTQ=,https://github.com/cucumber/cucumber-jvm-scala/issues/3,2017-10-14T10:58:22Z,2020-05-10T15:49:51Z,2020-05-24T11:55:13Z,2020-06-07T13:52:13Z
MDU6SXNzdWUyNjU0ODMzNDc=,https://github.com/cucumber/cucumber-jvm-scala/issues/4,2017-10-14T10:59:06Z,2020-05-10T15:50:48Z,2020-04-03T20:49:19Z,2022-05-28T14:15:49Z
MDU6SXNzdWUzMDYyMTU0ODQ=,https://github.com/cucumber/cucumber-jvm-scala/issues/5,2018-03-18T05:50:16Z,,2018-03-18T05:52:21Z,2018-03-18T14:29:10Z
MDU6SXNzdWUzMjkzODc0Njk=,https://github.com/cucumber/cucumber-jvm-scala/issues/7,2018-06-05T10:05:57Z,,,2018-06-14T20:12:31Z
MDU6SXNzdWUzNTI1MjY2ODU=,https://github.com/cucumber/cucumber-jvm-scala/issues/10,2018-08-21T12:58:06Z,,2018-08-22T16:14:42Z,2018-10-25T15:12:23Z
MDU6SXNzdWU0NTgyNzc3MTE=,https://github.com/cucumber/cucumber-jvm-scala/issues/16,2019-06-20T00:12:04Z,,2019-06-22T16:39:51Z,2019-06-25T09:32:57Z
MDU6SXNzdWU1OTg5Mzk0NzU=,https://github.com/cucumber/cucumber-jvm-scala/issues/21,2020-04-13T15:01:16Z,,2020-04-14T08:58:05Z,2020-06-23T23:05:45Z
MDU6SXNzdWU1OTk0MzU2OTc=,https://github.com/cucumber/cucumber-jvm-scala/issues/22,2020-04-14T09:41:08Z,,2020-04-14T10:23:20Z,2020-04-14T10:49:36Z
MDU6SXNzdWU2MDMzNjk1NjY=,https://github.com/cucumber/cucumber-jvm-scala/issues/24,2020-04-20T16:29:40Z,2020-04-20T16:29:52Z,,2020-04-21T14:34:59Z
MDU6SXNzdWU2MDY3ODk2NDg=,https://github.com/cucumber/cucumber-jvm-scala/issues/26,2020-04-25T15:11:35Z,2020-04-25T15:11:47Z,2020-05-01T09:21:48Z,2020-05-03T15:13:10Z
MDU6SXNzdWU2MDcwMjkzMzk=,https://github.com/cucumber/cucumber-jvm-scala/issues/31,2020-04-26T14:44:19Z,2020-04-26T14:44:19Z,2020-04-26T20:21:33Z,2020-05-03T13:57:52Z
MDU6SXNzdWU2MDcwMzEwNjU=,https://github.com/cucumber/cucumber-jvm-scala/issues/32,2020-04-26T14:52:24Z,2020-04-26T14:52:24Z,,2020-05-03T13:32:16Z
MDU6SXNzdWU2MTQ4MTM5MDQ=,https://github.com/cucumber/cucumber-jvm-scala/issues/43,2020-05-08T15:28:27Z,,,2020-05-08T16:04:47Z
MDU6SXNzdWU2MTQ4MTU5OTY=,https://github.com/cucumber/cucumber-jvm-scala/issues/44,2020-05-08T15:31:52Z,,,2020-05-08T16:14:56Z
MDU6SXNzdWU2MTQ4MTk2MjA=,https://github.com/cucumber/cucumber-jvm-scala/issues/45,2020-05-08T15:38:23Z,,,2020-05-09T12:17:47Z
MDU6SXNzdWU2MTQ4MjYzMjQ=,https://github.com/cucumber/cucumber-jvm-scala/issues/47,2020-05-08T15:50:13Z,2020-05-08T15:50:20Z,,2020-11-22T13:54:26Z
MDU6SXNzdWU2MTUxMzc3NTI=,https://github.com/cucumber/cucumber-jvm-scala/issues/50,2020-05-09T09:50:46Z,2020-05-09T13:16:09Z,2020-05-09T12:17:12Z,2020-05-22T13:15:07Z
MDU6SXNzdWU2MTUxNDI1MTU=,https://github.com/cucumber/cucumber-jvm-scala/issues/51,2020-05-09T10:17:42Z,,2020-05-09T14:22:03Z,2020-05-09T14:34:17Z
MDU6SXNzdWU2MTUxNzUzNDU=,https://github.com/cucumber/cucumber-jvm-scala/issues/53,2020-05-09T13:21:06Z,2020-05-09T13:21:07Z,,2020-05-09T13:53:42Z
MDU6SXNzdWU2MTUzNTY2MDM=,https://github.com/cucumber/cucumber-jvm-scala/issues/56,2020-05-10T09:55:13Z,2020-05-10T09:55:13Z,2020-05-10T16:20:34Z,2020-05-23T15:15:34Z
MDU6SXNzdWU2MjEwNzQwNTc=,https://github.com/cucumber/cucumber-jvm-scala/issues/60,2020-05-19T15:28:15Z,2020-05-19T15:28:15Z,2020-05-19T15:29:16Z,2020-05-23T15:14:55Z
MDU6SXNzdWU2MzgxOTM5MjU=,https://github.com/cucumber/cucumber-jvm-scala/issues/83,2020-06-13T16:48:51Z,2020-06-13T16:48:51Z,,2020-06-14T11:44:41Z
MDU6SXNzdWU2MzgyMDMwNDU=,https://github.com/cucumber/cucumber-jvm-scala/issues/84,2020-06-13T17:48:13Z,2020-06-13T17:48:14Z,,2020-06-14T14:03:53Z
MDU6SXNzdWU2NTM0NDA5NjE=,https://github.com/cucumber/cucumber-jvm-scala/issues/102,2020-07-08T16:38:13Z,2020-07-09T06:22:17Z,2020-07-08T17:54:41Z,2020-07-09T14:14Z
MDU6SXNzdWU2NTQ4ODk4NDY=,https://github.com/cucumber/cucumber-jvm-scala/issues/105,2020-07-10T16:16:53Z,,2020-07-10T22:09:07Z,2020-07-11T06:17:15Z
MDU6SXNzdWU3MzgyNzYwMTY=,https://github.com/cucumber/cucumber-jvm-scala/issues/139,2020-11-07T16:44:05Z,2020-11-07T16:44:35Z,2020-11-07T16:53:39Z,2021-03-08T07:45:12Z
MDU6SXNzdWU3OTEwNjY0NzQ=,https://github.com/cucumber/cucumber-jvm-scala/issues/165,2021-01-21T13:08:51Z,,,2021-01-21T15:01:39Z
MDU6SXNzdWU4MDk1NTU2OTY=,https://github.com/cucumber/cucumber-jvm-scala/issues/175,2021-02-16T18:38:36Z,2021-02-17T07:44:46Z,2021-02-17T07:52:14Z,2022-05-28T14:15:49Z
MDU6SXNzdWU4MTExMTk4Nzg=,https://github.com/cucumber/cucumber-jvm-scala/issues/177,2021-02-18T13:53:45Z,2021-02-18T13:53:45Z,2021-02-18T14:03:10Z,2021-02-19T12:48:01Z
MDU6SXNzdWU5MjczNzA3MTk=,https://github.com/cucumber/cucumber-jvm-scala/issues/217,2021-06-22T15:36:03Z,2021-06-22T15:36:03Z,2021-09-21T19:37:51Z,
MDU6SXNzdWU5Nzg3MTE2NDg=,https://github.com/cucumber/cucumber-jvm-scala/issues/227,2021-08-25T04:52:47Z,,,2021-09-03T09:03:31Z
I_kwDOBlylsc48C9TS,https://github.com/cucumber/cucumber-jvm-scala/issues/235,2021-09-26T14:32:34Z,2021-09-26T14:32:34Z,,2021-11-13T15:43:55Z
I_kwDOBlylsc4_2hC_,https://github.com/cucumber/cucumber-jvm-scala/issues/255,2021-12-04T17:24:12Z,2021-12-04T17:24:12Z,2021-12-04T20:45:33Z,
I_kwDOBlylsc5C0u_o,https://github.com/cucumber/cucumber-jvm-scala/issues/266,2022-02-01T19:38:33Z,2022-02-01T19:38:33Z,2022-02-01T19:50:33Z,2022-03-13T13:03:37Z
I_kwDOBlylsc5GOmRw,https://github.com/cucumber/cucumber-jvm-scala/issues/276,2022-03-23T14:51:01Z,2022-03-23T14:51:01Z,2022-03-23T20:56:21Z,2022-04-11T17:12:06Z
